iter	MultiClass
0	2.311006159
1	2.23990377
2	2.18035866
3	2.128847687
4	2.083942399
5	2.043835709
6	2.008369957
7	1.976628833
8	1.948489244
9	1.921674517
10	1.899011335
11	1.877250385
12	1.856472713
13	1.838127921
14	1.820299705
15	1.804128697
16	1.789989295
17	1.776715309
18	1.764555475
19	1.753337846
20	1.742525955
21	1.732185257
22	1.723042927
23	1.713625951
24	1.705516252
25	1.697853703
26	1.690617481
27	1.683722182
28	1.677126373
29	1.671517339
30	1.665785586
31	1.660478934
32	1.655590407
33	1.65072492
34	1.64624641
35	1.641938759
36	1.638334946
37	1.634822073
38	1.631343196
39	1.628440479
40	1.625287205
41	1.62238172
42	1.619738211
43	1.617061918
44	1.614418139
45	1.612083663
46	1.609785503
47	1.607806281
48	1.605823765
49	1.604162211
50	1.602373841
51	1.600702143
52	1.598776
53	1.596818515
54	1.595519872
55	1.593916522
56	1.592618723
57	1.59112488
58	1.589855316
59	1.588678888
60	1.587348773
61	1.586293987
62	1.585016076
63	1.583914754
64	1.582933473
65	1.581870552
66	1.580909509
67	1.579866652
68	1.579035639
69	1.578061439
70	1.577274745
71	1.576514281
72	1.575860178
73	1.575003779
74	1.574216697
75	1.573503934
76	1.572944854
77	1.5724452
78	1.571810424
79	1.571314677
80	1.570841062
81	1.570307887
82	1.569854368
83	1.569403368
84	1.568775104
85	1.568085736
86	1.567733507
87	1.566997437
88	1.566594131
89	1.565920454
90	1.565435553
91	1.564928636
92	1.564314969
93	1.563910188
94	1.563290481
95	1.562406287
96	1.561852173
97	1.56134972
98	1.560973611
99	1.560547543
100	1.560134582
101	1.559736451
102	1.559089757
103	1.558721758
104	1.558364291
105	1.557964339
106	1.557648618
107	1.55727043
108	1.556985341
109	1.556449054
110	1.556014416
111	1.555697727
112	1.555415838
113	1.554999119
114	1.554677913
115	1.554285135
116	1.553890946
117	1.553686555
118	1.553360038
119	1.553001063
120	1.552674475
121	1.55233368
122	1.551979534
123	1.551762336
124	1.551475564
125	1.551186091
126	1.550890145
127	1.550327361
128	1.550113477
129	1.549851402
130	1.549395381
131	1.549168409
132	1.548847194
133	1.548438217
134	1.548181752
135	1.547880908
136	1.54753908
137	1.547236308
138	1.546859881
139	1.546695702
140	1.546295314
141	1.545986985
142	1.545676007
143	1.545455413
144	1.545156189
145	1.544993412
146	1.544769431
147	1.544562535
148	1.544230079
149	1.544056234
150	1.543767254
151	1.543493819
152	1.543301187
153	1.543178105
154	1.542960042
155	1.542765547
156	1.542553769
157	1.542104601
158	1.541845602
159	1.541457813
160	1.541132064
161	1.541020618
162	1.540719389
163	1.540407347
164	1.540197526
165	1.540016644
166	1.539857517
167	1.539680219
168	1.539480347
169	1.539275462
170	1.539092895
171	1.538885694
172	1.538679685
173	1.538369236
174	1.538074639
175	1.537844819
176	1.537696456
177	1.537524013
178	1.537283783
179	1.536998726
180	1.536545002
181	1.536340617
182	1.53617621
183	1.536027893
184	1.535843716
185	1.535640688
186	1.535392787
187	1.535263958
188	1.53506933
189	1.534822226
190	1.534632867
191	1.534298222
192	1.534006406
193	1.533789213
194	1.533577309
195	1.533431821
196	1.533223795
197	1.533012996
198	1.532820163
199	1.532637675
200	1.532513605
201	1.532324139
202	1.532108502
203	1.53188238
204	1.531663817
205	1.531546992
206	1.531374099
207	1.531221851
208	1.531014111
209	1.530880205
210	1.530738413
211	1.530522754
212	1.530385405
213	1.53029879
214	1.53013777
215	1.529988733
216	1.529763371
217	1.52960916
218	1.529371555
219	1.529132879
220	1.528952069
221	1.528815889
222	1.528668457
223	1.528561195
224	1.528453389
225	1.528284971
226	1.528070692
227	1.527947233
228	1.527790859
229	1.527566993
230	1.527293793
231	1.527135979
232	1.526945239
233	1.526764194
234	1.526572462
235	1.526481819
236	1.526315163
237	1.526124371
238	1.52601777
239	1.525813073
240	1.525576303
241	1.525426955
242	1.525276871
243	1.525127472
244	1.524921313
245	1.524808538
246	1.524677411
247	1.524466858
248	1.524259147
249	1.524171751
250	1.523995734
251	1.523889093
252	1.523698079
253	1.523617034
254	1.523480911
255	1.523285648
256	1.523134514
257	1.522955566
258	1.522793385
259	1.522659194
260	1.522463979
261	1.522273313
262	1.522150005
263	1.521944915
264	1.52178003
265	1.521585184
266	1.521432025
267	1.521317466
268	1.521181845
269	1.521020214
270	1.520831544
271	1.520730024
272	1.520598468
273	1.520473803
274	1.520347482
275	1.520216597
276	1.520012306
277	1.519951053
278	1.519769498
279	1.51960459
280	1.519440471
281	1.519249784
282	1.519052231
283	1.518871552
284	1.518713778
285	1.518544946
286	1.518426445
287	1.518283309
288	1.518101533
289	1.517948719
290	1.517794949
291	1.517672432
292	1.517595141
293	1.517465031
294	1.517347191
295	1.517263348
296	1.517106321
297	1.516992408
298	1.516839935
299	1.516672422
