iter	Passed	Remaining
0	907	271479
1	1657	246938
2	2191	216934
3	2787	206249
4	3612	213150
5	4579	224393
6	5567	233041
7	6328	230973
8	7366	238167
9	8314	241110
10	9000	236466
11	9706	232949
12	10456	230836
13	11177	228348
14	11957	227192
15	12738	226107
16	13940	232069
17	14555	228029
18	15153	224112
19	15800	221208
20	16463	218735
21	17147	216682
22	17842	214881
23	18622	214159
24	19324	212574
25	19937	210113
26	20628	208574
27	21251	206444
28	21853	204220
29	22452	202072
30	23152	200904
31	24061	201511
32	24610	199119
33	25151	196771
34	25810	195420
35	26644	195393
36	27542	195776
37	28633	197420
38	29223	195573
39	29744	193338
40	30253	191114
41	30749	188889
42	31235	186684
43	31738	184661
44	32226	182616
45	32777	180989
46	33322	179375
47	33849	177708
48	34353	175973
49	34843	174218
50	35338	172534
51	35840	170929
52	36330	169314
53	36830	167785
54	37313	166214
55	37870	165008
56	38416	163774
57	38941	162481
58	39437	161092
59	39935	159741
60	40447	158476
61	40961	157240
62	41453	155943
63	41970	154766
64	42479	153580
65	43111	152849
66	43641	151767
67	44179	150731
68	44691	149617
69	45170	148417
70	45664	147283
71	46151	146147
72	46714	145264
73	47209	144181
74	47776	143330
75	48329	142443
76	48857	141496
77	49378	140539
78	49884	139549
79	50378	138541
80	50882	137571
81	51373	136578
82	51880	135639
83	52374	134677
84	52951	133935
85	53479	133077
86	53985	132170
87	54495	131285
88	54996	130385
89	55483	129461
90	55976	128561
91	56469	127671
92	56958	126777
93	57437	125873
94	58018	125198
95	58546	124412
96	59051	123582
97	59554	122755
98	60049	121919
99	60533	121067
100	61014	120215
101	61503	119390
102	61995	118574
103	62478	117748
104	63043	117081
105	63575	116354
106	64086	115594
107	64586	114820
108	65084	114047
109	65581	113277
110	66077	112510
111	66592	111780
112	67082	111012
113	67580	110263
114	68146	109626
115	68670	108925
116	69279	108360
117	69825	107697
118	70362	107022
119	70895	106343
120	71430	105670
121	71965	104998
122	72457	104268
123	73035	103663
124	73599	103039
125	74133	102375
126	74653	101692
127	75170	101010
128	75667	100303
129	76169	99606
130	76660	98897
131	77196	98249
132	77860	97764
133	78860	97692
134	79894	97648
135	80468	97035
136	81062	96446
137	81635	95832
138	82204	95215
139	82828	94661
140	83397	94044
141	84047	93517
142	84702	92994
143	85368	92482
144	86036	91970
145	86663	91412
146	87205	90764
147	87821	90195
148	88450	89637
149	89055	89055
150	89663	88475
151	90247	87872
152	90863	87300
153	91525	86770
154	92887	86895
155	94922	87620
156	96558	87948
157	97891	87978
158	99080	87863
159	100109	87595
160	101129	87310
161	102126	86996
162	103246	86777
163	104324	86513
164	105160	86040
165	106734	86158
166	108132	86117
167	109041	85675
168	109893	85183
169	110787	84719
170	111639	84219
171	113390	84383
172	114453	84020
173	115183	83408
174	116213	83009
175	117220	82587
176	118151	82105
177	118938	81519
178	119679	80900
179	120391	80261
180	121256	79721
181	122017	79110
182	122768	78491
183	123769	78028
184	124462	77368
185	125249	76765
186	125913	76086
187	126733	75501
188	127421	74834
189	128188	74214
190	128908	73565
191	129635	72920
192	130340	72261
193	130983	71568
194	131654	70890
195	132397	70251
196	133156	69619
197	133899	68978
198	134595	68312
199	135295	67647
200	135966	66968
201	136573	66258
202	137176	65547
203	137842	64866
204	138493	64180
205	139154	63497
206	139794	62806
207	140466	62129
208	141146	61456
209	141698	60728
210	142279	60013
211	142941	59334
212	143522	58621
213	144095	57907
214	144689	57202
215	145232	56479
216	145783	55760
217	146325	55040
218	146874	54323
219	147416	53606
220	148066	52928
221	148624	52219
222	149193	51515
223	149735	50803
224	150262	50087
225	150802	49377
226	151332	48666
227	151829	47946
228	152321	47226
229	152891	46532
230	153436	45831
231	153954	45124
232	154483	44422
233	154988	43714
234	155490	43008
235	155982	42300
236	156465	41592
237	156964	40889
238	157464	40189
239	158032	39508
240	158569	38819
241	159091	38129
242	159602	37437
243	160094	36743
244	160608	36054
245	161105	35364
246	161598	34675
247	162101	33988
248	162615	33306
249	163351	32670
250	164128	32040
251	164738	31378
252	165338	30715
253	166060	30073
254	166631	29405
255	167196	28736
256	167895	28091
257	168573	27442
258	169237	26790
259	169848	26130
260	170419	25464
261	171162	24825
262	172084	24209
263	173114	23606
264	173888	22966
265	174464	22299
266	175046	21635
267	175599	20967
268	176159	20300
269	176712	19634
270	177219	18964
271	177756	18298
272	178402	17644
273	179006	16986
274	179552	16322
275	180211	15670
276	180925	15022
277	181571	14369
278	182152	13710
279	182755	13053
280	183445	12403
281	184200	11757
282	184879	11105
283	185687	10461
284	186237	9801
285	186799	9144
286	187327	8485
287	187891	7828
288	188419	7171
289	188960	6515
290	189472	5859
291	189967	5204
292	190581	4553
293	191214	3902
294	191857	3251
295	192493	2601
296	193211	1951
297	193928	1301
298	194497	650
299	195239	0
